Customer ID,Entry Time,Date,Artist,Song,time_diff,new,session,song_number,session_start,session_entry_difference
cd2834,2020-12-22T13:54:00Z,2020-12-22T14:00:00Z,Wham!,Last Christmas,0,TRUE,1,1,2020-12-22T14:00:00Z,6
2de3d7,2020-12-22T14:55:00Z,2020-12-22T15:00:00Z,Dolly Parton,9 To 5,60,TRUE,2,1,2020-12-22T15:00:00Z,5
2de3d7,2020-12-22T14:55:00Z,2020-12-22T15:02:00Z,Camilla Cabello Ft. Young Thug,Havana,2,FALSE,2,2,2020-12-22T15:00:00Z,5
2de3d7,2020-12-22T14:55:00Z,2020-12-22T15:04:00Z,Moana,How Far I’ll Go,2,FALSE,2,3,2020-12-22T15:00:00Z,5
6aby54,2020-12-22T17:51:00Z,2020-12-22T18:00:00Z,Backstreet Boys,I Want It That Way,176,TRUE,3,1,2020-12-22T18:00:00Z,9
316313,2020-12-22T19:00:00Z,2020-12-22T19:00:00Z,Alexandra Burke,Hallelujah,60,TRUE,4,1,2020-12-22T19:00:00Z,0
316313,2020-12-22T19:00:00Z,2020-12-22T19:03:00Z,Luis Fonsi & Daddy Yankee,Despacito,3,FALSE,4,2,2020-12-22T19:00:00Z,0
316313,2020-12-22T19:00:00Z,2020-12-22T19:05:00Z,The Lion King,Can You Feel The Love Tonight,2,FALSE,4,3,2020-12-22T19:00:00Z,0
316313,2020-12-22T19:00:00Z,2020-12-22T19:07:00Z,Billie Eilish,Bad Guy,2,FALSE,4,4,2020-12-22T19:00:00Z,0
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:00:00Z,Lil Nas X,Old Town Road,233,TRUE,5,1,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:03:00Z,ABBA,Dancing Queen,3,FALSE,5,2,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:05:00Z,Alexandra Burke,Hallelujah,2,FALSE,5,3,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:08:00Z,Aladdin,A Whole New World,3,FALSE,5,4,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:11:00Z,Loren Allred,Never Enough (The Greatest Showman),3,FALSE,5,5,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:13:00Z,Aqua,Barbie Girl,2,FALSE,5,6,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:15:00Z,Vanilla Ice,Ice Ice Baby,2,FALSE,5,7,2020-12-22T23:00:00Z,5
aa0846,2020-12-22T22:55:00Z,2020-12-22T23:18:00Z,Mark Ronson Ft. Bruno Mars,Uptown Funk,3,FALSE,5,8,2020-12-22T23:00:00Z,5
7da7c9,2020-12-23T06:56:00Z,2020-12-23T07:00:00Z,Robbie Williams,Angels,462,TRUE,6,1,2020-12-23T07:00:00Z,4
15885d,2020-12-23T07:57:00Z,2020-12-23T08:00:00Z,Frank Sinatra,My Way,60,TRUE,7,1,2020-12-23T08:00:00Z,3
15885d,2020-12-23T07:57:00Z,2020-12-23T08:03:00Z,Little Mix,Shout Out To My Ex,3,FALSE,7,2,2020-12-23T08:00:00Z,3
15885d,2020-12-23T07:57:00Z,2020-12-23T08:06:00Z,Frank Sinatra,New York New York,3,FALSE,7,3,2020-12-23T08:00:00Z,3
15885d,2020-12-23T07:57:00Z,2020-12-23T08:09:00Z,Ed Sheeran,Shape Of You,3,FALSE,7,4,2020-12-23T08:00:00Z,3
c02782,2020-12-23T12:00:00Z,2020-12-23T12:00:00Z,Wham!,Last Christmas,231,TRUE,8,1,2020-12-23T12:00:00Z,0
c02782,2020-12-23T12:00:00Z,2020-12-23T12:02:00Z,Ed Sheeran,Perfect,2,FALSE,8,2,2020-12-23T12:00:00Z,0
c02782,2020-12-23T12:00:00Z,2020-12-23T12:04:00Z,Moana,How Far I’ll Go,2,FALSE,8,3,2020-12-23T12:00:00Z,0
c02782,2020-12-23T12:00:00Z,2020-12-23T12:07:00Z,Lady Gaga & Bradley Cooper,Shallow,3,FALSE,8,4,2020-12-23T12:00:00Z,0
abae4d,2020-12-23T16:00:00Z,2020-12-23T16:00:00Z,Moana,How Far I’ll Go,233,TRUE,9,1,2020-12-23T16:00:00Z,0
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:00:00Z,Ike And Tina Turner,Proud Mary,60,TRUE,10,1,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:02:00Z,Whitney Houston,I Wanna Dance With Somebody,2,FALSE,10,2,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:05:00Z,The Proclaimers,I’m Gonna Be (500 Miles),3,FALSE,10,3,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:08:00Z,Lady Gaga & Bradley Cooper,Shallow,3,FALSE,10,4,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:11:00Z,Pinkfong,Baby Shark,3,FALSE,10,5,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:14:00Z,The Lion King,I Just Can’t Wait To Be King,3,FALSE,10,6,2020-12-23T17:00:00Z,8
01fc7c,2020-12-23T16:52:00Z,2020-12-23T17:16:00Z,The Proclaimers,I’m Gonna Be (500 Miles),2,FALSE,10,7,2020-12-23T17:00:00Z,8
2e5db7,2020-12-24T00:53:00Z,2020-12-24T01:00:00Z,John Denver,"Take Me Home, Country Roads",464,TRUE,11,1,2020-12-24T01:00:00Z,7
4999af,2020-12-24T01:57:00Z,2020-12-24T02:00:00Z,Loren Allred,Never Enough (The Greatest Showman),60,TRUE,12,1,2020-12-24T02:00:00Z,3
4999af,2020-12-24T01:57:00Z,2020-12-24T02:02:00Z,John Denver,"Take Me Home, Country Roads",2,FALSE,12,2,2020-12-24T02:00:00Z,3
cdda70,2020-12-24T03:53:00Z,2020-12-24T04:00:00Z,Shania Twain,Man! I Feel Like A Woman,118,TRUE,13,1,2020-12-24T04:00:00Z,7
cdda70,2020-12-24T03:53:00Z,2020-12-24T04:03:00Z,Mariah Carey,All I Want For Christmas Is You,3,FALSE,13,2,2020-12-24T04:00:00Z,7
